"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get file","LMS service","Wed Apr 01 07:55:06 UTC 2026","passed","Wed Apr 01 07:55:06 UTC 2026","Get entity","Files","",""
"","286","Login with correct email and password","LMS service","Wed Apr 01 07:55:00 UTC 2026","passed","Wed Apr 01 07:55:00 UTC 2026","Login","Authentication","",""
"","21","Create exercise","LMS service","Wed Apr 01 07:55:02 UTC 2026","passed","Wed Apr 01 07:55:02 UTC 2026","Create entity","Exercises","",""
"","531","Create user","LMS service","Wed Apr 01 07:55:08 UTC 2026","passed","Wed Apr 01 07:55:08 UTC 2026","Create entity","Users","",""
"","23","Delete file","LMS service","Wed Apr 01 07:55:08 UTC 2026","passed","Wed Apr 01 07:55:08 UTC 2026","Delete entity","Files","",""
"","19","Get exercises","LMS service","Wed Apr 01 07:55:05 UTC 2026","passed","Wed Apr 01 07:55:05 UTC 2026","Get entities","Exercises","",""
"","34","Update course","LMS service","Wed Apr 01 07:55:02 UTC 2026","passed","Wed Apr 01 07:55:02 UTC 2026","Update entity","Courses","",""
"","30","Get course","LMS service","Wed Apr 01 07:55:01 UTC 2026","passed","Wed Apr 01 07:55:01 UTC 2026","Get entities","Courses","",""
"","560","Create user","LMS service","Wed Apr 01 07:55:08 UTC 2026","passed","Wed Apr 01 07:55:09 UTC 2026","Create entity","Users","",""
"","20","Get exercise","LMS service","Wed Apr 01 07:55:03 UTC 2026","passed","Wed Apr 01 07:55:04 UTC 2026","Get entity","Exercises","",""
"","11","Get user me","LMS service","Wed Apr 01 07:55:09 UTC 2026","passed","Wed Apr 01 07:55:09 UTC 2026","Get entities","Users","",""
"","261","Create file","LMS service","Wed Apr 01 07:55:05 UTC 2026","passed","Wed Apr 01 07:55:05 UTC 2026","Create entity","Files","",""
"","28","Create course","LMS service","Wed Apr 01 07:55:01 UTC 2026","passed","Wed Apr 01 07:55:01 UTC 2026","Create entity","Courses","",""
"","20","Update exercise","LMS service","Wed Apr 01 07:55:03 UTC 2026","passed","Wed Apr 01 07:55:03 UTC 2026","Update entity","Exercises","",""
"","263","Create file with empty filename","LMS service","Wed Apr 01 07:55:06 UTC 2026","passed","Wed Apr 01 07:55:06 UTC 2026","Validate entity","Files","",""
"","264","Create file with empty directory","LMS service","Wed Apr 01 07:55:07 UTC 2026","passed","Wed Apr 01 07:55:07 UTC 2026","Validate entity","Files","",""
"","289","Create user","LMS service","Wed Apr 01 07:55:08 UTC 2026","passed","Wed Apr 01 07:55:09 UTC 2026","Create entity","Users","",""
"","259","Get file with incorrect file id","LMS service","Wed Apr 01 07:55:08 UTC 2026","passed","Wed Apr 01 07:55:08 UTC 2026","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Wed Apr 01 07:55:04 UTC 2026","passed","Wed Apr 01 07:55:04 UTC 2026","Delete entity","Exercises","",""
